ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
458989,0,1,36,1,Engineer,0.0,0,1.0,6
458994,1,1,37,1,Healthcare,8.0,1,4.0,6
458996,0,1,69,0,,0.0,0,1.0,6
459000,1,1,59,0,Executive,11.0,2,2.0,6
459001,0,0,19,0,Marketing,,0,4.0,6
459003,1,1,47,1,Doctor,0.0,2,5.0,4
459005,1,1,61,1,Doctor,5.0,0,3.0,6
459008,0,1,47,1,Artist,1.0,1,3.0,6
459013,1,1,50,1,Artist,2.0,1,4.0,6
459014,1,0,19,0,Healthcare,0.0,0,4.0,6
459015,1,0,22,0,Healthcare,0.0,0,3.0,6
459016,0,0,22,0,Healthcare,0.0,0,6.0,6
459024,1,1,50,1,Artist,1.0,1,5.0,6
459026,1,0,27,0,Healthcare,8.0,0,3.0,3
459032,1,0,18,0,Doctor,0.0,0,3.0,6
459033,0,1,61,1,Artist,0.0,0,1.0,6
459036,0,1,20,1,Lawyer,1.0,1,3.0,3
459039,1,1,45,1,Artist,1.0,1,2.0,6
459041,1,1,55,1,Artist,8.0,0,1.0,6
459045,0,1,88,1,Lawyer,1.0,1,4.0,6
459056,1,1,63,0,Executive,,2,3.0,6
459057,1,1,69,0,Lawyer,,2,,6
459058,1,0,42,1,Artist,0.0,0,4.0,3
459059,1,1,79,0,Executive,,2,2.0,6
459061,0,1,35,1,Healthcare,9.0,2,3.0,6
459064,1,1,27,0,Executive,5.0,2,4.0,6
459065,1,1,52,1,Engineer,,0,2.0,6
459074,0,0,29,1,Healthcare,0.0,0,4.0,4
459077,0,1,79,0,Lawyer,1.0,2,2.0,6
459079,1,1,87,1,Lawyer,,2,2.0,6
459080,1,1,89,0,Lawyer,1.0,0,2.0,6
459083,1,1,63,1,Artist,9.0,1,3.0,
459090,1,0,31,0,Artist,1.0,0,2.0,6
459091,1,1,72,1,Artist,1.0,1,6.0,1
459093,0,1,41,1,Doctor,9.0,1,2.0,
459100,0,0,61,1,Artist,11.0,0,1.0,6
459106,1,1,62,1,Artist,0.0,0,2.0,6
459114,1,1,56,1,Artist,1.0,1,2.0,6
459116,1,1,60,1,Artist,2.0,1,5.0,6
459117,1,1,68,1,Artist,0.0,2,2.0,6
459118,1,0,19,0,Healthcare,,0,8.0,6
459119,1,1,57,1,Executive,8.0,2,3.0,6
459120,1,0,19,0,Healthcare,5.0,0,5.0,2
459121,0,1,51,1,Artist,3.0,1,6.0,6
459123,0,1,86,0,Artist,1.0,2,2.0,6
459130,0,1,74,0,Lawyer,1.0,2,2.0,6
459132,1,0,23,0,Entertainment,6.0,0,2.0,6
459136,1,1,47,1,Artist,0.0,1,2.0,6
459140,0,0,19,0,Healthcare,7.0,0,6.0,6
459143,1,1,50,0,Artist,0.0,2,4.0,6
459144,1,1,80,1,Lawyer,,2,2.0,6
459145,1,1,78,0,Lawyer,,0,1.0,2
459150,0,0,48,1,Doctor,0.0,0,1.0,6
459160,1,1,70,1,Doctor,1.0,1,2.0,6
459161,1,1,50,1,Executive,3.0,2,5.0,6
459162,0,1,83,1,Lawyer,0.0,2,2.0,6
459163,1,0,35,1,Entertainment,0.0,0,1.0,6
459167,0,0,36,1,Artist,0.0,0,2.0,5
459170,0,0,35,1,Artist,1.0,0,1.0,6
459171,1,1,35,1,Artist,0.0,1,2.0,6
459172,1,0,18,0,Healthcare,3.0,0,3.0,2
459175,0,1,73,1,Artist,1.0,1,2.0,6
459181,1,1,62,0,Artist,1.0,2,3.0,6
459182,0,1,46,1,Artist,1.0,1,2.0,6
459184,1,1,43,1,Entertainment,0.0,0,4.0,4
459185,0,0,32,1,Entertainment,7.0,0,1.0,6
459193,1,0,39,1,Artist,0.0,0,1.0,6
459194,0,1,89,1,Lawyer,0.0,2,2.0,6
459196,0,0,18,0,Healthcare,0.0,0,3.0,4
459208,0,1,57,1,Artist,0.0,2,2.0,3
459209,0,0,18,0,Entertainment,0.0,0,4.0,6
459210,0,1,71,1,Artist,1.0,2,2.0,6
459212,0,1,69,1,Artist,0.0,1,2.0,6
459213,0,0,42,1,Healthcare,0.0,0,4.0,6
459216,0,0,36,1,Artist,0.0,0,2.0,6
459220,0,1,80,1,Lawyer,1.0,2,2.0,6
459221,1,1,69,0,Entertainment,,0,1.0,6
459222,0,1,67,1,Artist,0.0,1,3.0,6
459223,0,1,47,1,Doctor,1.0,1,4.0,6
459224,0,1,49,1,Artist,0.0,1,2.0,6
459227,0,1,32,0,Engineer,9.0,0,4.0,6
459229,0,1,65,1,Lawyer,1.0,1,4.0,6
459236,0,1,78,0,Lawyer,0.0,2,2.0,6
459237,1,0,33,1,Artist,1.0,0,6.0,6
459244,1,1,48,1,Artist,1.0,0,1.0,6
459247,1,1,58,1,Executive,1.0,1,5.0,6
459258,0,1,83,1,Lawyer,1.0,2,,6
459263,0,0,30,0,Healthcare,9.0,0,4.0,6
459264,0,0,35,1,Artist,0.0,0,2.0,6
459266,1,0,32,1,Healthcare,6.0,0,5.0,6
459270,1,1,69,1,Homemaker,1.0,2,2.0,6
459284,0,1,71,1,Lawyer,1.0,2,2.0,6
459287,1,0,43,1,Lawyer,0.0,0,1.0,4
459288,1,1,37,1,Artist,0.0,0,2.0,6
459289,1,0,42,1,Doctor,0.0,0,1.0,6
459290,0,1,70,1,Doctor,1.0,1,2.0,6
459292,1,0,46,1,Artist,0.0,0,2.0,6
459293,1,0,21,0,Healthcare,,0,,1
459296,1,1,70,1,Artist,0.0,1,2.0,6
459300,0,1,61,1,Artist,1.0,0,,6
459307,1,1,60,1,Entertainment,1.0,0,1.0,6
459310,1,0,37,1,Entertainment,0.0,0,2.0,2
459316,1,1,30,1,Healthcare,1.0,0,2.0,6
459318,0,0,32,1,Engineer,1.0,0,3.0,6
459320,1,1,26,1,Executive,0.0,0,3.0,6
459322,1,0,42,1,Marketing,0.0,0,1.0,6
459323,0,0,18,0,Doctor,,0,,6
459338,1,1,80,0,Executive,,0,,6
459339,1,1,29,1,Healthcare,8.0,2,2.0,6
459344,0,1,88,1,Artist,1.0,2,2.0,6
459347,1,1,70,1,Lawyer,1.0,0,1.0,6
459349,0,1,50,1,Artist,1.0,2,4.0,6
459352,1,1,43,1,Doctor,4.0,1,4.0,3
459353,1,1,51,1,Artist,6.0,1,2.0,6
459354,0,1,50,1,Artist,,2,3.0,6
459355,0,1,74,0,Homemaker,,0,1.0,6
459360,0,0,29,1,Healthcare,,0,3.0,6
459361,0,0,32,1,Engineer,,0,2.0,6
459362,1,1,60,0,Executive,0.0,0,2.0,6
459363,1,0,46,1,Artist,2.0,0,1.0,6
459364,0,1,81,1,Marketing,0.0,0,2.0,6
459369,1,1,41,0,Engineer,,1,7.0,4
459375,1,1,22,0,Executive,0.0,2,4.0,6
459377,1,1,37,1,Artist,0.0,1,3.0,6
459383,1,1,43,0,Engineer,0.0,0,1.0,6
459384,1,1,50,1,Artist,1.0,1,3.0,6
459385,0,1,35,1,Artist,1.0,1,2.0,7
459386,1,1,65,0,Lawyer,1.0,2,2.0,6
459391,0,0,41,1,Engineer,0.0,0,4.0,6
459394,1,0,28,0,Entertainment,8.0,0,2.0,6
459397,1,1,55,1,Artist,4.0,1,2.0,6
459398,0,1,58,0,Lawyer,,2,2.0,6
459401,1,0,28,0,Healthcare,1.0,0,3.0,
459403,1,1,48,1,Artist,,1,4.0,7
459405,0,1,78,0,Doctor,1.0,2,2.0,6
459407,0,0,35,1,Doctor,1.0,0,3.0,6
459409,0,1,76,1,Lawyer,0.0,2,2.0,6
459410,0,1,88,1,Lawyer,1.0,2,2.0,6
459412,1,1,61,1,,1.0,1,3.0,6
459413,0,1,79,1,Artist,,2,2.0,6
459415,1,0,30,0,Doctor,0.0,0,4.0,6
459418,1,1,69,0,Executive,0.0,2,2.0,6
459419,1,1,65,1,Doctor,1.0,1,2.0,6
459420,0,1,70,1,Lawyer,1.0,0,2.0,6
459421,1,1,32,0,Healthcare,0.0,1,4.0,6
459422,1,1,46,1,Entertainment,,0,4.0,6
459423,1,0,21,0,Healthcare,8.0,0,5.0,6
459424,1,1,47,1,Doctor,,0,3.0,6
459428,0,0,39,0,Marketing,0.0,0,2.0,4
459432,1,1,85,1,Lawyer,0.0,0,3.0,6
459436,0,0,66,1,Artist,0.0,0,2.0,6
459439,0,1,50,1,Artist,1.0,1,2.0,6
459445,0,1,42,1,Artist,0.0,1,3.0,6
459447,1,1,53,1,Artist,9.0,0,1.0,6
459449,1,1,37,1,Artist,,0,2.0,6
459451,0,1,45,1,Artist,1.0,0,2.0,6
459456,0,0,66,0,Lawyer,,0,1.0,6
459458,1,0,33,0,Marketing,,0,,6
459459,1,1,40,1,Artist,4.0,0,1.0,6
459461,0,1,35,1,Artist,1.0,0,1.0,1
459464,1,0,27,1,Artist,,0,2.0,6
459466,0,1,48,1,Artist,0.0,1,3.0,4
459467,0,1,56,1,Artist,0.0,1,2.0,6
459469,1,1,25,1,Healthcare,,0,6.0,6
459471,0,0,30,0,Artist,,0,8.0,6
459480,0,1,46,1,Entertainment,7.0,0,3.0,6
459481,1,1,49,0,Lawyer,0.0,0,2.0,6
459482,1,1,72,0,Marketing,1.0,0,4.0,6
459485,0,1,79,1,Lawyer,,2,2.0,6
459496,0,0,35,1,Artist,,0,3.0,6
459497,0,1,77,1,Lawyer,0.0,0,1.0,6
459499,0,1,79,0,Lawyer,,2,2.0,6
459503,1,1,42,1,Healthcare,6.0,2,4.0,6
459505,0,0,42,1,Engineer,,0,1.0,6
459507,1,1,67,0,Lawyer,,2,2.0,1
459509,1,0,26,1,Healthcare,1.0,0,1.0,6
459512,1,1,67,1,Lawyer,1.0,2,2.0,6
459515,1,1,55,1,Engineer,1.0,0,1.0,6
459516,0,,56,1,Artist,,1,2.0,6
459518,1,1,63,,,,1,4.0,6
459535,1,1,46,1,Artist,8.0,1,2.0,6
459536,1,1,32,1,Healthcare,7.0,0,2.0,6
459538,0,0,49,1,Homemaker,13.0,0,1.0,6
459541,1,1,59,1,Artist,1.0,2,2.0,6
459549,1,0,22,0,Healthcare,8.0,0,5.0,4
459555,0,0,28,1,Artist,8.0,0,1.0,6
459558,1,0,28,1,Entertainment,1.0,0,3.0,6
459564,1,1,75,1,Lawyer,2.0,0,1.0,6
459566,0,1,37,1,Artist,13.0,0,2.0,6
459567,1,1,50,1,Doctor,0.0,1,2.0,6
459571,0,1,50,1,Executive,1.0,2,4.0,6
459576,0,1,88,0,Lawyer,,0,,
459579,0,1,35,1,Artist,3.0,1,5.0,4
459581,0,0,35,0,,,0,,7
459582,1,1,31,0,Entertainment,,1,3.0,6
459583,1,1,46,1,Artist,0.0,0,1.0,6
459585,0,1,50,1,Artist,1.0,1,4.0,6
459587,0,0,33,1,Artist,7.0,0,3.0,6
459588,1,1,49,1,Artist,0.0,0,1.0,6
459591,1,1,52,1,Artist,1.0,1,3.0,6
459592,1,0,25,0,Healthcare,0.0,0,3.0,6
459594,0,1,41,1,Artist,6.0,0,1.0,6
459597,0,1,68,1,Artist,0.0,2,2.0,6
459603,0,1,79,0,Lawyer,2.0,2,2.0,6
459607,1,1,40,1,Entertainment,5.0,1,5.0,6
459608,0,0,62,1,Doctor,,0,1.0,6
459612,1,0,21,0,Healthcare,,0,2.0,6
459616,0,0,20,0,Healthcare,,0,4.0,1
459617,1,0,28,1,Entertainment,1.0,0,5.0,6
459618,1,1,57,1,Doctor,0.0,1,2.0,4
459621,0,0,25,0,Healthcare,8.0,0,,
459625,0,1,63,0,Engineer,8.0,0,1.0,6
459626,0,1,26,0,Entertainment,1.0,0,3.0,6
459632,0,1,50,0,Marketing,0.0,2,3.0,4
459644,0,0,30,0,Marketing,9.0,0,4.0,2
459652,0,0,26,0,Engineer,,0,4.0,4
459658,1,1,61,1,Artist,1.0,1,3.0,6
459664,1,0,42,1,Artist,3.0,0,1.0,6
459665,1,1,88,1,Artist,4.0,0,2.0,6
459672,1,1,45,0,Artist,3.0,1,3.0,6
459673,0,1,86,1,Lawyer,1.0,0,1.0,6
459678,1,0,18,0,Healthcare,1.0,0,5.0,6
459680,1,0,37,1,Entertainment,,0,1.0,6
459686,1,1,46,1,Artist,1.0,0,1.0,6
459691,1,1,58,0,Artist,,1,2.0,6
459692,0,1,72,1,Lawyer,8.0,2,2.0,6
459693,0,1,50,1,Artist,0.0,2,3.0,
459699,0,,56,1,Engineer,8.0,1,3.0,6
459701,1,0,46,0,Artist,3.0,0,3.0,5
459710,1,1,57,1,Artist,,0,1.0,6
459711,1,1,42,0,Executive,9.0,2,6.0,6
459712,1,0,20,0,Healthcare,,0,4.0,6
459713,1,0,19,0,Healthcare,,0,3.0,6
459715,1,0,19,0,Healthcare,4.0,0,4.0,6
459718,1,1,68,1,Executive,1.0,0,1.0,6
459725,0,1,40,1,Artist,0.0,0,2.0,6
459727,1,1,82,0,Lawyer,,2,2.0,6
459740,0,0,23,0,Healthcare,1.0,0,3.0,6
459742,0,1,84,0,Lawyer,1.0,2,2.0,6
459745,1,1,51,0,Artist,0.0,0,4.0,1
459746,1,,59,1,Artist,1.0,1,2.0,6
459747,0,1,41,1,Artist,1.0,1,5.0,6
459748,1,1,51,0,Executive,1.0,2,2.0,6
459755,0,1,62,0,Artist,,1,3.0,6
459756,0,1,62,0,Lawyer,1.0,2,4.0,4
459760,0,1,38,1,Artist,8.0,0,1.0,6
459763,1,0,18,0,Artist,,0,4.0,4
459767,1,0,22,0,Healthcare,3.0,0,4.0,6
459771,0,,30,1,Doctor,0.0,0,3.0,3
459779,0,1,62,1,Entertainment,1.0,0,1.0,6
459780,0,0,43,0,Entertainment,1.0,0,3.0,6
459785,0,0,32,1,Engineer,,0,1.0,3
459793,1,1,37,1,Artist,1.0,2,,6
459795,1,0,48,1,Artist,1.0,0,1.0,6
459801,0,0,31,1,Engineer,4.0,0,2.0,6
459804,1,1,46,0,Artist,4.0,2,4.0,6
459806,0,1,49,0,Engineer,1.0,1,4.0,6
459808,1,1,43,0,Doctor,,1,4.0,6
459815,1,0,42,1,Artist,8.0,0,1.0,6
459816,1,1,37,1,Doctor,,0,2.0,6
459819,1,1,72,1,Entertainment,,2,2.0,6
459821,1,,71,0,Executive,,2,1.0,
459822,0,0,39,1,Engineer,1.0,0,1.0,4
459825,1,0,20,0,Healthcare,0.0,0,5.0,2
459827,0,0,26,0,,,0,1.0,7
459832,1,1,72,1,Executive,1.0,0,1.0,6
459845,1,1,70,1,Healthcare,0.0,0,1.0,4
459851,1,0,45,1,Artist,2.0,0,1.0,6
459853,1,0,33,0,Executive,7.0,0,5.0,6
459856,1,1,50,0,Entertainment,0.0,1,3.0,6
459857,1,0,31,1,Entertainment,6.0,0,1.0,6
459861,0,1,74,0,Lawyer,1.0,2,2.0,6
459864,0,1,68,0,Artist,,2,2.0,6
459866,0,0,49,1,Artist,,0,1.0,6
459867,1,1,49,1,Marketing,0.0,2,2.0,6
459869,0,0,18,0,Healthcare,1.0,0,3.0,6
459871,0,1,85,0,Entertainment,2.0,1,2.0,6
459885,0,0,38,1,Entertainment,,0,4.0,6
459886,1,1,28,0,Artist,0.0,0,4.0,6
459887,1,1,46,0,Artist,3.0,1,2.0,
459889,1,1,59,1,Homemaker,9.0,1,3.0,6
459897,0,1,56,1,Artist,0.0,0,2.0,6
459909,1,1,69,1,Artist,0.0,0,1.0,6
459910,1,1,66,1,Artist,0.0,0,2.0,6
459911,1,0,18,0,Healthcare,4.0,0,6.0,2
459914,1,0,36,1,Artist,4.0,0,1.0,4
459923,1,0,31,1,Marketing,1.0,0,2.0,3
459925,1,1,67,0,Executive,1.0,2,2.0,4
459937,0,0,39,1,Artist,7.0,0,1.0,6
459943,1,0,42,1,Entertainment,4.0,0,3.0,6
459945,1,1,50,1,Artist,0.0,0,2.0,6
459946,0,1,37,1,Artist,0.0,1,2.0,6
459949,0,0,59,1,Artist,0.0,0,1.0,6
459953,1,1,50,1,Artist,8.0,0,2.0,6
459961,1,1,48,1,Artist,8.0,0,3.0,2
459962,1,1,55,1,Artist,9.0,0,1.0,6
459966,0,0,33,1,Doctor,1.0,0,3.0,6
459968,1,0,38,1,Artist,13.0,0,1.0,7
459970,1,0,43,1,Artist,0.0,0,2.0,6
459973,0,0,53,1,Artist,0.0,0,2.0,6
459974,1,0,37,1,Entertainment,0.0,0,1.0,6
459975,0,0,36,1,Artist,5.0,0,1.0,6
459981,1,0,36,1,Artist,5.0,0,1.0,6
459986,1,1,62,1,Artist,1.0,0,1.0,6
459995,0,0,38,0,Artist,2.0,0,2.0,6
459996,1,0,55,1,Entertainment,1.0,0,1.0,6
459998,1,1,60,0,Entertainment,1.0,1,2.0,6
460004,0,1,36,1,Entertainment,7.0,1,2.0,5
460006,1,0,30,0,Entertainment,5.0,0,9.0,3
460014,0,0,66,0,Entertainment,4.0,0,3.0,6
460023,1,1,45,1,Entertainment,1.0,0,1.0,6
460027,0,0,40,1,Entertainment,6.0,0,,6
460033,0,,45,1,Entertainment,5.0,0,3.0,6
460036,1,1,41,1,,2.0,0,1.0,6
460040,0,1,62,1,Homemaker,4.0,0,1.0,5
460045,1,1,61,1,Artist,1.0,0,2.0,6
460046,0,1,50,1,Artist,4.0,0,2.0,6
460050,1,1,53,1,Entertainment,3.0,0,2.0,6
460051,1,0,39,1,Artist,7.0,0,1.0,6
460052,0,0,86,1,Lawyer,0.0,0,1.0,3
460058,1,1,50,1,Artist,1.0,0,1.0,4
460059,0,0,46,0,Entertainment,4.0,0,,4
460061,1,0,52,1,Marketing,0.0,0,1.0,3
460066,0,0,45,0,Marketing,0.0,0,1.0,6
460068,0,0,37,1,Artist,9.0,0,1.0,6
460073,0,1,36,1,Engineer,3.0,0,1.0,6
460075,0,0,25,1,Artist,,0,1.0,6
460079,0,0,40,0,Doctor,1.0,0,1.0,6
460081,1,1,41,1,Artist,11.0,2,2.0,6
460088,0,1,25,1,Homemaker,,2,2.0,6
460090,1,1,80,0,Lawyer,4.0,1,2.0,6
460093,0,0,46,1,Artist,3.0,0,1.0,3
460095,0,1,81,1,Lawyer,1.0,0,1.0,6
460097,1,,40,1,Artist,0.0,0,2.0,3
460099,1,0,49,1,,1.0,0,1.0,3
460101,0,0,26,1,Healthcare,8.0,0,3.0,3
460103,1,0,26,1,Artist,1.0,0,1.0,4
460105,0,0,47,1,Artist,0.0,0,1.0,4
460106,0,1,71,1,Entertainment,0.0,0,,6
460107,1,1,48,1,Engineer,1.0,1,5.0,6
460108,1,1,39,1,Artist,1.0,1,3.0,2
460109,1,1,50,1,Artist,8.0,1,2.0,6
460110,0,0,46,1,Artist,1.0,0,2.0,
460112,1,1,26,1,Engineer,8.0,1,2.0,3
460116,0,1,42,1,,1.0,0,2.0,6
460118,0,1,36,1,Artist,4.0,0,2.0,6
460119,1,0,29,1,Healthcare,1.0,0,4.0,6
460122,0,0,39,0,Artist,1.0,0,1.0,6
460124,0,0,41,1,Artist,0.0,0,3.0,6
460126,0,1,48,1,Marketing,8.0,0,,6
460134,1,1,40,1,Entertainment,9.0,2,3.0,6
460135,0,0,25,1,Healthcare,4.0,0,3.0,6
460140,0,1,41,1,Artist,7.0,0,2.0,6
460141,1,0,37,1,Artist,11.0,0,1.0,6
460144,0,0,53,1,Doctor,0.0,0,,3
460146,0,1,51,1,Engineer,0.0,1,3.0,3
460147,1,1,73,1,Entertainment,1.0,1,3.0,6
460157,1,1,61,0,,1.0,0,5.0,4
460160,1,0,39,1,Entertainment,5.0,0,1.0,3
460162,0,0,19,0,Healthcare,0.0,0,4.0,2
460166,0,0,19,0,Healthcare,0.0,0,7.0,2
460167,0,0,23,0,Entertainment,1.0,0,5.0,2
460168,1,1,83,1,Executive,0.0,2,2.0,2
460171,0,1,62,1,Artist,1.0,2,2.0,6
460174,0,0,43,1,Artist,9.0,0,4.0,6
460175,0,0,27,0,Artist,0.0,0,5.0,2
460177,1,0,50,1,Artist,0.0,0,1.0,6
460179,0,0,23,0,Entertainment,0.0,0,6.0,2
460183,1,0,35,0,Entertainment,9.0,0,2.0,6
460185,1,0,32,0,Healthcare,9.0,0,3.0,6
460187,0,0,42,1,Doctor,2.0,0,3.0,6
460189,1,0,33,0,Entertainment,13.0,0,1.0,6
460190,0,0,28,1,Entertainment,9.0,0,3.0,6
460192,1,1,35,1,,1.0,0,2.0,7
460196,0,0,35,1,Healthcare,9.0,0,2.0,6
460206,0,1,39,1,Entertainment,0.0,0,2.0,6
460211,1,1,28,,Artist,6.0,0,1.0,6
460212,1,1,35,1,Entertainment,11.0,0,6.0,6
460214,0,1,45,1,Engineer,0.0,1,2.0,6
460222,0,,73,1,Lawyer,4.0,2,,6
460223,1,0,52,0,Entertainment,1.0,0,1.0,6
460227,1,0,28,0,Healthcare,0.0,0,3.0,6
460242,1,1,38,1,Healthcare,9.0,0,3.0,6
460243,0,0,42,1,Entertainment,8.0,0,1.0,6
460247,0,0,26,0,Doctor,9.0,0,,6
460248,0,0,27,1,Healthcare,7.0,0,2.0,6
460252,1,1,41,1,Artist,0.0,0,2.0,6
460263,1,1,41,1,Artist,1.0,0,2.0,6
460265,1,1,47,1,Executive,0.0,2,4.0,6
460270,1,0,35,1,Doctor,8.0,0,1.0,6
460272,0,0,88,1,Lawyer,0.0,0,1.0,6
460275,0,0,46,1,Artist,6.0,0,1.0,6
460276,0,1,41,1,Artist,3.0,0,2.0,6
460281,0,0,30,1,Doctor,10.0,0,5.0,6
460283,1,1,43,1,Doctor,12.0,0,2.0,6
460284,0,0,29,1,Entertainment,9.0,0,2.0,6
460287,1,1,48,1,Artist,1.0,0,1.0,6
460289,0,1,61,1,Artist,4.0,1,6.0,4
460298,0,0,51,1,Lawyer,2.0,0,1.0,6
460303,0,0,38,1,Artist,2.0,0,1.0,
460305,0,,49,1,Entertainment,0.0,2,1.0,6
460306,0,0,43,1,Healthcare,9.0,0,1.0,6
460310,1,0,27,0,Healthcare,14.0,0,4.0,6
460315,0,0,35,0,Doctor,14.0,0,6.0,7
460319,0,1,39,0,Doctor,4.0,1,2.0,7
460322,0,1,52,0,Engineer,9.0,0,,6
460323,0,0,38,1,Engineer,10.0,0,1.0,6
460324,0,0,30,1,Entertainment,12.0,0,2.0,6
460327,0,0,43,1,Artist,10.0,0,1.0,6
460333,0,0,42,0,Entertainment,10.0,0,4.0,6
460336,0,0,46,1,Artist,2.0,0,1.0,7
460340,0,0,47,1,Artist,11.0,0,2.0,6
460341,0,0,32,0,Entertainment,13.0,0,5.0,7
460344,0,1,53,1,Artist,11.0,1,2.0,6
460346,0,1,43,1,Artist,12.0,1,,6
460348,0,0,39,1,Artist,0.0,0,2.0,6
460349,1,,42,1,Artist,3.0,1,2.0,6
460354,0,0,37,1,Artist,3.0,0,1.0,3
460356,1,0,19,0,Healthcare,0.0,0,4.0,6
460358,1,0,30,0,Marketing,1.0,0,1.0,3
460361,0,1,49,1,Artist,0.0,0,1.0,4
460362,1,1,55,1,Healthcare,0.0,0,3.0,4
460365,0,1,59,1,Doctor,1.0,0,2.0,4
460369,0,1,46,1,Artist,,0,2.0,6
460370,0,1,27,1,Executive,9.0,2,2.0,6
460371,0,0,25,1,Artist,1.0,0,2.0,6
460378,0,0,37,1,Doctor,1.0,0,1.0,6
460379,1,0,38,1,Artist,9.0,0,3.0,6
460380,1,0,29,1,Entertainment,9.0,0,3.0,6
460381,1,0,28,1,Artist,11.0,0,2.0,6
460384,0,1,27,1,Marketing,8.0,0,2.0,6
460387,0,0,42,0,Entertainment,3.0,0,2.0,6
460388,0,0,43,1,Artist,14.0,0,2.0,6
460389,0,1,40,1,Healthcare,8.0,1,2.0,6
460390,1,0,41,1,Artist,9.0,0,3.0,6
460392,1,1,46,0,Entertainment,8.0,0,1.0,1
460394,0,0,32,1,Healthcare,9.0,0,3.0,6
460397,0,0,56,1,Entertainment,1.0,0,1.0,6
460399,1,0,28,1,Marketing,12.0,0,1.0,6
